구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,금속캔,비닐류,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,재활용,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,(합성수지류),스틱류,수지류,,,,,,,,폐기물,,,,잔재물,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,구로구,처리방법,매립,26.4,26.4,26.4,0,13.3,3.3,2.4,2.7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,구로구,처리방법,소각,115.1,115.1,115.1,8.1,17.8,6.7,3.5,6.5,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,구로구,처리방법,재활용,157.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6,3.5,3.6,1.9,46.5,4.4,0.6,0,0.1,0,0,1,2.1,0.9,0,0,0.1,0,3.9,89
서울,금천구,발생량,발생량,225,72.3,66.3,1.7,22,1.9,0.8,12.9,27,6,0.5,1,0.5,4,0,95.5,28.1,11.5,5.5,3.4,9.7,0.2,0,0,0,0,0.1,6,0.8,0,0,0.1,0.4,29.7,57.2
서울,금천구,처리방법,매립,72.3,72.3,66.3,1.7,22,1.9,0.8,12.9,27,6,0.5,1,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,금천구,처리방법,소각,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,금천구,처리방법,재활용,152.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,28.1,11.5,5.5,3.4,9.7,0.2,0,0,0,0,0.1,6,0.8,0,0,0.1,0.4,29.7,57.2
서울,영등포구,발생량,발생량,300,118.3,118.3,0,98.1,3.6,3.6,5.9,7.1,0,0,0,0,0,0,69.3,6,15.3,6.3,9.5,9.2,0.8,0.1,0.1,0,0,0.1,2.4,0,0,1.8,0,0.3,17.4,112.4
서울,영등포구,처리방법,매립,11.9,11.9,11.9,0,9.8,0.4,0.4,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,영등포구,처리방법,소각,106.4,106.4,106.4,0,88.3,3.2,3.2,5.3,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,영등포구,처리방법,재활용,181.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,6,15.3,6.3,9.5,9.2,0.8,0.1,0.1,0,0,0.1,2.4,0,0,1.8,0,0.3,17.4,112.4
서울,동작구,발생량,발생량,279.3,88.2,88.2,3.3,32.3,1.2,3,18.4,30,0,0,0,0,0,0,104.7,34.1,10.7,7.5,13.8,8.7,0,1.1,0.1,0,0,0.1,7.1,0,0,0,0,0.4,21.1,86.4
서울,동작구,처리방법,매립,18.6,18.6,18.6,0.7,6.8,0.3,0.6,3.9,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동작구,처리방법,소각,69.6,69.6,69.6,2.6,25.5,0.9,2.4,14.5,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동작구,처리방법,재활용,191.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.7,34.1,10.7,7.5,13.8,8.7,0,1.1,0.1,0,0,0.1,7.1,0,0,0,0,0.4,21.1,86.4
서울,관악구,발생량,발생량,371.9,120.1,106.5,7.3,57.2,4.7,9.9,12.5,14.9,8.2,3.1,0.8,0.5,3.8,5.4,142.6,33.4,7.6,3.5,20.5,15.8,0.1,0.2,0,0,0,0,5.7,1.1,0,0,0,1,53.7,109.2
서울,관악구,처리방법,매립,83.8,83.8,75.2,4.9,39.8,3.1,7.3,9.3,10.8,5.2,1.4,0.5,0.5,2.8,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,관악구,처리방법,소각,36.3,36.3,31.3,2.4,17.4,1.6,2.6,3.2,4.1,3,1.7,0.3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,관악구,처리방법,재활용,251.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.6,33.4,7.6,3.5,20.5,15.8,0.1,0.2,0,0,0,0,5.7,1.1,0,0,0,1,53.7,109.2
서울,서초구,발생량,발생량,488.4,142.2,131.2,4.1,43.6,1.9,1.5,24.5,55.6,11,3.3,1.7,0.7,5.3,0,180.8,58.9,43.6,1.9,44.9,11.4,1.5,0.1,0,0,0,0.2,7.6,0,0,0,0.8,0,9.9,165.4
서울,서초구,처리방법,매립,77.3,77.3,72.3,1.9,24.5,0.9,0.7,14.3,30,5,1.5,0.8,0.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서초구,처리방법,소각,64.9,64.9,58.9,2.2,19.1,1,0.8,10.2,25.6,6,1.8,0.9,0.4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
