구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,은평구,처리방법,재활용,149.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,10,6.4,4.3,12,6.3,0,0.3,0,0,0,0.1,12.8,2.5,0,9,0.8,0.4,85
서울,서대문구,발생량,발생량,288.5,94.2,93.6,0,8,4.5,3.4,3.9,73.8,0.6,0,0.1,0,0.5,0,111.9,52.1,21.5,2,5.1,6,0,0,5.7,0,0,0.3,19.2,0,0,0,0,0,82.4
서울,서대문구,처리방법,매립,8.3,8.3,7.7,0,0.7,0.3,0.1,0.8,5.8,0.6,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서대문구,처리방법,소각,85.9,85.9,85.9,0,7.3,4.2,3.3,3.1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,서대문구,처리방법,재활용,194.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.9,52.1,21.5,2,5.1,6,0,0,5.7,0,0,0.3,19.2,0,0,0,0,0,82.4
서울,마포구,발생량,발생량,449.1,124.4,120.8,3.6,74.9,1.8,1.3,23.6,15.6,3.6,0.7,0.4,0.2,2.3,0,196,77.1,20,9.4,25.8,15.1,0,0.2,0.1,0,0,0.1,18.4,16.1,0,8.9,0,4.8,128.7
서울,마포구,처리방법,매립,11.7,11.7,11.4,0.3,7.1,0.2,0.1,2.2,1.5,0.3,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,처리방법,소각,112.7,112.7,109.4,3.3,67.8,1.6,1.2,21.4,14.1,3.3,0.6,0.4,0.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,처리방법,재활용,324.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,77.1,20,9.4,25.8,15.1,0,0.2,0.1,0,0,0.1,18.4,16.1,0,8.9,0,4.8,128.7
서울,양천구,발생량,발생량,310.1,107.9,107.9,0,0,0,0,0,107.9,0,0,0,0,0,0,102.4,84.8,3,1.7,0.6,0.6,0,0.3,0.1,0,0,0.1,0.1,9.9,0,0,0,1.2,99.8
