시도,폐기물 종류,,,2020발생량,총계,,,,공공처리,,,,자가처리,,,,위탁처리,,,
,,,,,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타
대구,재활용 가능자원 분리배출,폐의류,,5873,5873,0,0,0,0,0,0,0,0,0,0,0,5873,0,0,0
대구,재활용 가능자원 분리배출,폐섬유류,,7358.4,7358.4,0,0,0,0,0,0,0,0,0,0,0,7358.4,0,0,0
대구,재활용 가능자원 분리배출,조명폐기물,,195.4,195.4,0,0,0,97.4,0,0,0,0,0,0,0,98,0,0,0
대구,재활용 가능자원 분리배출,폐전지류,,357.6,357.6,0,0,0,96,0,0,0,0,0,0,0,261.6,0,0,0
대구,재활용 가능자원 분리배출,영농폐기물,농약용기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구,재활용 가능자원 분리배출,영농폐기물,폐비닐,393.4,393.4,0,0,0,393.4,0,0,0,0,0,0,0,0,0,0,0
대구,재활용 가능자원 분리배출,폐식용유,,614.4,614.4,0,0,0,0,0,0,0,0,0,0,0,614.4,0,0,0
대구,재활용 가능자원 분리배출,폐전기전자제품,,5612.9,5612.9,0,0,0,288.7,0,0,0,0,0,0,0,5324.2,0,0,0
대구,재활용 가능자원 분리배출,폐가구류,,5433.4,5433.4,0,0,0,0,0,0,0,0,0,0,0,5433.4,0,0,0
대구,재활용 가능자원 분리배출,기타,,7039.1,7039.1,0,0,0,629.6,0,0,0,0,0,0,0,6409.5,0,0,0
대구,재활용 가능자원 분리배출,재활용 잔재물,,53896.8,40446,6642.2,6808.6,0,23975.3,5587.9,1108.9,0,0,0,0,0,16470.7,1054.3,5699.7,0
대구,음식물류 폐기물 분리배출,,,219889.4,219889.4,0,0,0,129677.3,0,0,0,227.1,0,0,0,89985,0,0,0
인천,합계,,,731850.7,399350.4,219634.7,112865.6,0,143335.6,198306.9,112795,0,237.9,0,0,0,255776.9,21327.8,70.6,0
인천,혼합배출,소계,,368460.1,47941.6,207652.9,112865.6,0,34858.9,196044.5,112795,0,0,0,0,0,13082.7,11608.4,70.6,0
인천,혼합배출,가연성,소계,340755,45126.2,193722.3,101906.5,0,34021,182748.2,101906.5,0,0,0,0,0,11105.2,10974.1,0,0
인천,혼합배출,가연성,폐지류,79839,8553.5,45818.8,25466.7,0,8553.5,44904,25466.7,0,0,0,0,0,0,914.8,0,0
인천,혼합배출,가연성,폐합성수지류,67381.9,4055.1,42365.6,20961.2,0,4055.1,36465.3,20961.2,0,0,0,0,0,0,5900.3,0,0
인천,혼합배출,가연성,폐고무류,2263.1,259.1,1298.3,705.7,0,259.1,1270.6,705.7,0,0,0,0,0,0,27.7,0,0
인천,혼합배출,가연성,폐섬유류,16090.2,1891.3,9223.7,4975.2,0,1891.3,9016.6,4975.2,0,0,0,0,0,0,207.1,0,0
인천,혼합배출,가연성,음식물류 폐기물,23670.1,2668.8,13575.3,7426,0,2668.8,13289.9,7426,0,0,0,0,0,0,285.4,0,0
인천,혼합배출,가연성,폐목재류,16846.3,11315.3,3555.5,1975.5,0,210.1,3477.6,1975.5,0,0,0,0,0,11105.2,77.9,0,0
인천,혼합배출,가연성,기타,134664.4,16383.1,77885.1,40396.2,0,16383.1,74324.2,40396.2,0,0,0,0,0,0,3560.9,0,0
인천,혼합배출,불연성,소계,27166.9,2815.4,13489.7,10861.8,0,837.9,13259.4,10861.8,0,0,0,0,0,1977.5,230.3,0,0
인천,혼합배출,불연성,폐금속류,6200.6,184,3235.5,2781.1,0,184,3184.9,2781.1,0,0,0,0,0,0,50.6,0,0
인천,혼합배출,불연성,폐유리류,7043.2,551.2,4014.5,2477.5,0,258.7,3943.4,2477.5,0,0,0,0,0,292.5,71.1,0,0
인천,혼합배출,불연성,폐토사류,2588.8,1581.7,626.7,380.4,0,36.8,616.6,380.4,0,0,0,0,0,1544.9,10.1,0,0
인천,혼합배출,불연성,폐타일 및 도자기류,1112.3,162.6,386.8,562.9,0,22.5,380.6,562.9,0,0,0,0,0,140.1,6.2,0,0
